variant,model,accuracy,precision_macro,recall_macro,f1_macro,model_path
diacritic_preserved__stopwords_kept,logistic_regression,1.0,1.0,1.0,1.0,C:\Users\AYOOLA KAYODE\Desktop\PROJECT DOCUMENT\MIT 2\Fatunwase Micheal\Fatunwase Project\models\classical\diacritic_preserved__stopwords_kept__logistic_regression.joblib
diacritic_preserved__stopwords_kept,naive_bayes,1.0,1.0,1.0,1.0,C:\Users\AYOOLA KAYODE\Desktop\PROJECT DOCUMENT\MIT 2\Fatunwase Micheal\Fatunwase Project\models\classical\diacritic_preserved__stopwords_kept__naive_bayes.joblib
diacritic_preserved__stopwords_kept,random_forest,1.0,1.0,1.0,1.0,C:\Users\AYOOLA KAYODE\Desktop\PROJECT DOCUMENT\MIT 2\Fatunwase Micheal\Fatunwase Project\models\classical\diacritic_preserved__stopwords_kept__random_forest.joblib
diacritic_preserved__stopwords_kept,svm,1.0,1.0,1.0,1.0,C:\Users\AYOOLA KAYODE\Desktop\PROJECT DOCUMENT\MIT 2\Fatunwase Micheal\Fatunwase Project\models\classical\diacritic_preserved__stopwords_kept__svm.joblib
diacritic_preserved__stopwords_removed,logistic_regression,1.0,1.0,1.0,1.0,C:\Users\AYOOLA KAYODE\Desktop\PROJECT DOCUMENT\MIT 2\Fatunwase Micheal\Fatunwase Project\models\classical\diacritic_preserved__stopwords_removed__logistic_regression.joblib
diacritic_preserved__stopwords_removed,naive_bayes,1.0,1.0,1.0,1.0,C:\Users\AYOOLA KAYODE\Desktop\PROJECT DOCUMENT\MIT 2\Fatunwase Micheal\Fatunwase Project\models\classical\diacritic_preserved__stopwords_removed__naive_bayes.joblib
diacritic_preserved__stopwords_removed,random_forest,1.0,1.0,1.0,1.0,C:\Users\AYOOLA KAYODE\Desktop\PROJECT DOCUMENT\MIT 2\Fatunwase Micheal\Fatunwase Project\models\classical\diacritic_preserved__stopwords_removed__random_forest.joblib
diacritic_preserved__stopwords_removed,svm,1.0,1.0,1.0,1.0,C:\Users\AYOOLA KAYODE\Desktop\PROJECT DOCUMENT\MIT 2\Fatunwase Micheal\Fatunwase Project\models\classical\diacritic_preserved__stopwords_removed__svm.joblib
diacritic_stripped__stopwords_kept,logistic_regression,1.0,1.0,1.0,1.0,C:\Users\AYOOLA KAYODE\Desktop\PROJECT DOCUMENT\MIT 2\Fatunwase Micheal\Fatunwase Project\models\classical\diacritic_stripped__stopwords_kept__logistic_regression.joblib
diacritic_stripped__stopwords_kept,naive_bayes,1.0,1.0,1.0,1.0,C:\Users\AYOOLA KAYODE\Desktop\PROJECT DOCUMENT\MIT 2\Fatunwase Micheal\Fatunwase Project\models\classical\diacritic_stripped__stopwords_kept__naive_bayes.joblib
diacritic_stripped__stopwords_kept,random_forest,1.0,1.0,1.0,1.0,C:\Users\AYOOLA KAYODE\Desktop\PROJECT DOCUMENT\MIT 2\Fatunwase Micheal\Fatunwase Project\models\classical\diacritic_stripped__stopwords_kept__random_forest.joblib
diacritic_stripped__stopwords_kept,svm,1.0,1.0,1.0,1.0,C:\Users\AYOOLA KAYODE\Desktop\PROJECT DOCUMENT\MIT 2\Fatunwase Micheal\Fatunwase Project\models\classical\diacritic_stripped__stopwords_kept__svm.joblib
diacritic_stripped__stopwords_removed,logistic_regression,1.0,1.0,1.0,1.0,C:\Users\AYOOLA KAYODE\Desktop\PROJECT DOCUMENT\MIT 2\Fatunwase Micheal\Fatunwase Project\models\classical\diacritic_stripped__stopwords_removed__logistic_regression.joblib
diacritic_stripped__stopwords_removed,naive_bayes,1.0,1.0,1.0,1.0,C:\Users\AYOOLA KAYODE\Desktop\PROJECT DOCUMENT\MIT 2\Fatunwase Micheal\Fatunwase Project\models\classical\diacritic_stripped__stopwords_removed__naive_bayes.joblib
diacritic_stripped__stopwords_removed,random_forest,1.0,1.0,1.0,1.0,C:\Users\AYOOLA KAYODE\Desktop\PROJECT DOCUMENT\MIT 2\Fatunwase Micheal\Fatunwase Project\models\classical\diacritic_stripped__stopwords_removed__random_forest.joblib
diacritic_stripped__stopwords_removed,svm,1.0,1.0,1.0,1.0,C:\Users\AYOOLA KAYODE\Desktop\PROJECT DOCUMENT\MIT 2\Fatunwase Micheal\Fatunwase Project\models\classical\diacritic_stripped__stopwords_removed__svm.joblib
